id,value
id_0,6.675990980112434
id_1,18.071674932253515
id_2,24.038225880811623
id_3,7.7722579903982485
id_4,27.02666876933243
id_5,22.285593028075088
id_6,23.89889844954017
id_7,30.419205101639704
id_8,16.862185194023503
id_9,59.6070626547926
id_10,11.72114579899808
id_11,9.268966163376234
id_12,63.27717290776698
id_13,53.28392517194696
id_14,22.196853423304336
id_15,12.170905086948896
id_16,32.541408284225334
id_17,66.68114491778043
id_18,-0.4288923754744829
id_19,17.081744200799683
id_20,41.78232474057129
id_21,72.12298475750185
id_22,9.288776353342502
id_23,17.798397558856912
id_24,14.71726572618007
id_25,37.710786473470165
id_26,14.56856476463511
id_27,69.34780229867519
id_28,7.269607376635076
id_29,55.42394068387628
id_30,24.4647107388274
id_31,8.490068429392878
id_32,2.485893898490218
id_33,18.619693900032075
id_34,27.691273398187782
id_35,37.17228305069153
id_36,43.23163096413014
id_37,29.72257652789274
id_38,42.20513414713095
id_39,35.2768967105787
id_40,7.529038448091175
id_41,41.197505826465175
id_42,30.611950728017995
id_43,50.99605432471343
id_44,17.44619913084199
id_45,35.4703318891132
id_46,24.55882325935204
id_47,9.647463773831824
id_48,26.85874925080992
id_49,32.30739730741674
id_50,20.207634375708377
id_51,7.941271003065527
id_52,20.664554610051056
id_53,52.69741229764858
id_54,15.837234674098303
id_55,36.49310205849553
id_56,32.84657700143866
id_57,20.76064342127147
id_58,57.37601831438285
id_59,22.775212743545957
id_60,14.374928929455054
id_61,41.9821144879367
id_62,12.64329357384954
id_63,48.4412860397021
id_64,14.297373114438116
id_65,15.198204494865465
id_66,14.4269985172475
id_67,-0.9687989392466463
id_68,43.74999818975259
id_69,29.070078945471067
id_70,20.119562853062057
id_71,41.73421439947324
id_72,60.80197892932575
id_73,5.434855387807271
id_74,16.504435325129776
id_75,3.431771980438537
id_76,40.35197414001739
id_77,13.969001792580215
id_78,21.545292877819872
id_79,21.067720300453068
id_80,24.013458632096786
id_81,35.98750243526751
id_82,21.777359007694034
id_83,92.46248040626944
id_84,37.194798506785105
id_85,27.92493554358098
id_86,21.882664918389082
id_87,33.651841455762685
id_88,23.3102963256418
id_89,19.817301613199334
id_90,28.990583581941056
id_91,41.5239902778518
id_92,4.688961198893153
id_93,38.863244871584286
id_94,45.9798734177234
id_95,16.425131925434993
id_96,31.625928128633387
id_97,12.972412192307775
id_98,23.400939245274856
id_99,4.6188843902682315
id_100,18.251619877339046
id_101,26.3849497697856
id_102,14.097297145963882
id_103,15.823784915170606
id_104,23.91525389092728
id_105,39.68916896139933
id_106,31.420622440037462
id_107,6.439159733025361
id_108,6.021110373706241
id_109,78.55940765643636
id_110,47.96702008535679
id_111,16.994577067671337
id_112,27.685760065694453
id_113,15.327011008843286
id_114,13.730792031904405
id_115,24.94800737205815
id_116,26.496403869096742
id_117,10.628483913726697
id_118,18.259082185930644
id_119,19.46804641189669
id_120,80.74227553764433
id_121,25.6347472865463
id_122,37.12347181345241
id_123,25.213469950235215
id_124,7.386137559727587
id_125,38.63270627171894
id_126,9.159363242397522
id_127,21.93910786860836
id_128,29.10473602871835
id_129,62.82227718172672
id_130,21.862339456735697
id_131,23.19086613887807
id_132,59.29094070659772
id_133,15.230423653691549
id_134,14.203591508495286
id_135,2.7899656307732954
id_136,12.487508082471741
id_137,58.729604444498875
id_138,20.332270090399156
id_139,5.42902976668681
id_140,28.93711937514068
id_141,25.397033554980013
id_142,45.1952580496483
id_143,30.596728625239805
id_144,18.341247822077513
id_145,26.057634273476207
id_146,11.960252942213664
id_147,51.8659163576269
id_148,23.597644547482062
id_149,38.28943993453248
id_150,10.198276504018368
id_151,8.207302641565061
id_152,23.49380064019817
id_153,6.3526340981348675
id_154,14.995011987019955
id_155,41.102506365751495
id_156,7.915236380314511
id_157,36.27517866494529
id_158,10.964539776681995
id_159,18.750342020820522
id_160,41.45835602163287
id_161,19.304422547952925
id_162,13.240868259257937
id_163,7.868545739014721
id_164,52.63710418131654
id_165,31.21027490840192
id_166,-0.3187681123464401
id_167,16.352832212505916
id_168,63.581117527996156
id_169,14.256117202215908
id_170,63.721299530312336
id_171,39.14503265390575
id_172,26.968831550445202
id_173,20.344105087645666
id_174,61.005347167525386
id_175,25.07041577105699
id_176,20.99703589247792
id_177,37.55257029595637
id_178,12.488920419539916
id_179,31.1646499355454
id_180,16.715257602587236
id_181,11.769337686704205
id_182,55.81332405864327
id_183,46.44603641872939
id_184,15.516041906827041
id_185,35.16013344941232
id_186,26.190474213597692
id_187,69.32526290194845
id_188,9.935060685649614
id_189,57.93655988020943
id_190,38.258962624113025
id_191,15.336431076619963
id_192,29.200068841390454
id_193,0.2576018138435927
id_194,19.147116872424704
id_195,0.885805504326143
id_196,33.73119564026583
id_197,10.469324335111562
id_198,18.749580329957304
id_199,60.235762165552885
id_200,24.978163517631284
id_201,25.768703599294952
id_202,64.62819040396383
id_203,10.632035638586572
id_204,9.15928844933298
id_205,11.2779931753598
id_206,7.289005553845875
id_207,1.6674265546059388
id_208,123.96577901919501
id_209,20.587974460058366
id_210,16.126410529062085
id_211,13.84885662896311
id_212,36.32430312534948
id_213,36.041428834097125
id_214,18.922554266051677
id_215,34.80426678116013
id_216,78.53921041293275
id_217,0.4271481854662902
id_218,12.886919524592985
id_219,31.849955761288953
id_220,14.983146070882917
id_221,12.711781218882656
id_222,113.35497874374553
id_223,12.990064226732361
id_224,16.311202349853144
id_225,64.01868725674346
id_226,15.99245604287865
id_227,19.739809855953553
id_228,10.208331354159668
id_229,3.8490806684793952
id_230,46.20652809151227
id_231,12.742365495647345
id_232,54.007447645792865
id_233,42.516829081129664
id_234,25.129866655650684
id_235,41.00125627945215
id_236,68.97457513307162
id_237,42.15599767834719
id_238,11.035609529260594
id_239,18.15523350854088
